001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001076194,151019s1971\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472737, 0247-A (online), C 13.44:25-9, Standard x-ray diffraction powder patterns :  section 9- data for 63 substances /, NBS monograph ;  25-9. , https://doi.org/10.6028/NBS.MONO.25-9 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0d49b14d03358e464e2e76c5d146cd78/pdf/GOVPUB-C13-0d49b14d03358e464e2e76c5d146cd78.pdf https://purl.fdlp.gov/GPO/gpo94920
001076195,151019s1972\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472746, 0247-A (online), C 13.44:25-10, Standard x-ray diffraction powder patterns :  section 10- data for 84 substances /, NBS monograph ;  25-10. , https://doi.org/10.6028/NBS.MONO.25-10 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b9344e79bb4f9da8efb8a4a27a199eef/pdf/GOVPUB-C13-b9344e79bb4f9da8efb8a4a27a199eef.pdf https://purl.fdlp.gov/GPO/gpo102255
001076196,151019s1974\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472645, 0247-A (online), C 13.44:25-11, Standard x-ray diffraction powder patterns :  section 11- data for 70 substances /, NBS monograph ;  25-11. , https://doi.org/10.6028/NBS.MONO.25-11 https://www.govinfo.gov/content/pkg/GOVPUB-C13-77345a4ae8aaffbb4f8366c763a5de89/pdf/GOVPUB-C13-77345a4ae8aaffbb4f8366c763a5de89.pdf https://purl.fdlp.gov/GPO/gpo99478
001076197,151019s1975\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472646, 0247-A (online), C 13.44:25-12, Standard x-ray diffraction powder patterns :  section 12- data for 57 substances /, NBS monograph ;  25-12. , https://doi.org/10.6028/NBS.MONO.25-12 https://www.govinfo.gov/content/pkg/GOVPUB-C13-16bbe9001e466cca001840ef229edb36/pdf/GOVPUB-C13-16bbe9001e466cca001840ef229edb36.pdf https://purl.fdlp.gov/GPO/gpo95399
001076198,151019s1976\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472648, 0247-A (online), C 13.44:25-13, Standard x-ray diffraction powder patterns :  - 13- data for 58 substances /, NBS monograph ;  25-13. , https://doi.org/10.6028/NBS.MONO.25-13 https://www.govinfo.gov/content/pkg/GOVPUB-C13-190b5710b2599f9972204de013febbff/pdf/GOVPUB-C13-190b5710b2599f9972204de013febbff.pdf https://purl.fdlp.gov/GPO/gpo95469
001076199,151019s1959\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472749, 0247-A (online), C 13.44:4, CRPL exponential reference atmosphere / , NBS monograph ; 4 , https://doi.org/10.6028/NBS.MONO.4 https://www.govinfo.gov/content/pkg/GOVPUB-C13-974284a0a9a1e5e435c13c41979a0740/pdf/GOVPUB-C13-974284a0a9a1e5e435c13c41979a0740.pdf https://purl.fdlp.gov/GPO/gpo100925
001076200,151019s1977\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472811, 0247-A (online), C 13.44:25-14, Standard x-ray diffraction powder patterns :  section 14- data for 68 substances /, NBS monograph ;  25-14. , https://doi.org/10.6028/NBS.MONO.25-14 https://www.govinfo.gov/content/pkg/GOVPUB-C13-38bab7725d59a849c3b16654baa413f4/pdf/GOVPUB-C13-38bab7725d59a849c3b16654baa413f4.pdf https://purl.fdlp.gov/GPO/gpo96718
001076201,151019s1978\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472583, 0247-A (online), C 13.44:25-15, Standard x-ray diffraction powder patterns :  section 15- data for 112 substances /, NBS monograph ;  25-15. , https://doi.org/10.6028/NBS.MONO.25-15 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c560974c6e98a7af4949f1d42494a057/pdf/GOVPUB-C13-c560974c6e98a7af4949f1d42494a057.pdf https://purl.fdlp.gov/GPO/gpo102772
001076202,151019s1979\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472584, 0247-A (online), C 13.44:25-16, Standard x-ray diffraction powder patterns :  section 16- data for 86 substances /, NBS monograph ;  25-16. , https://doi.org/10.6028/NBS.MONO.25-16 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6db98f1b927d2610cffbbc6940559e72/pdf/GOVPUB-C13-6db98f1b927d2610cffbbc6940559e72.pdf https://purl.fdlp.gov/GPO/gpo99091
001076203,151019s1980\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472852, 0247-A (online), C 13.44:25-17, Standard x-ray diffraction powder patterns :  section 17- data for 54 substances /, NBS monograph ;  25-17. , https://doi.org/10.6028/NBS.MONO.25-17 https://www.govinfo.gov/content/pkg/GOVPUB-C13-73eaeb9224aba0dda8089cb8aa0e387f/pdf/GOVPUB-C13-73eaeb9224aba0dda8089cb8aa0e387f.pdf https://purl.fdlp.gov/GPO/gpo99331
001076204,151019s1981\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472866, 0247-A (online), C 13.44:25-18, Standard x-ray diffraction powder patterns :  section 18- data for 58 substances /, NBS monograph ;  25-18. , https://doi.org/10.6028/NBS.MONO.25-18 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b1067c399c32a6af99ac554f24c243b6/pdf/GOVPUB-C13-b1067c399c32a6af99ac554f24c243b6.pdf https://purl.fdlp.gov/GPO/gpo101931
