001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001077366,130328s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)833160172, 0249-A (online), C 13.46:1792, Performance analysis of RF-based electronic safety equipment in a subway station and the empire state building : / , NIST technical note ; 1792 , https://doi.org/10.6028/NIST.TN.1792 https://www.govinfo.gov/content/pkg/GOVPUB-C13-dc9fc5a64dcc6ca55a73d3a5130ca05d/pdf/GOVPUB-C13-dc9fc5a64dcc6ca55a73d3a5130ca05d.pdf https://purl.fdlp.gov/GPO/gpo103971
001077367,130328s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)833178424, 0249-A (online), C 13.46:1794, The performance of concrete tile and terracotta tile roofing assemblies exposed to wind-driven firebrand showers : / , NIST technical note ; 1794 , https://doi.org/10.6028/NIST.TN.1794 https://www.govinfo.gov/content/pkg/GOVPUB-C13-36b9d59a525e4ccf588ef63aad2b5d58/pdf/GOVPUB-C13-36b9d59a525e4ccf588ef63aad2b5d58.pdf https://purl.fdlp.gov/GPO/gpo96881
001077368,130409s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)837352352, 0249-A (online), C 13.46:1791, Evaluation of firepots and gel fuels / , NIST technical note ; 1791 , https://doi.org/10.6028/NIST.TN.1791 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3d1cbf8fb627356d6072f575a12fbf0d/pdf/GOVPUB-C13-3d1cbf8fb627356d6072f575a12fbf0d.pdf https://purl.fdlp.gov/GPO/gpo96993
001077369,130416s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)839444286, 0249-A (online), C 13.46:1798, Towards a new approach for evaluating fire blocking barrier fabrics / , NIST technical note ; 1798 , https://doi.org/10.6028/NIST.TN.1798 https://www.govinfo.gov/content/pkg/GOVPUB-C13-9accb0c84576d5b7aede406cfb01f32a/pdf/GOVPUB-C13-9accb0c84576d5b7aede406cfb01f32a.pdf https://purl.fdlp.gov/GPO/gpo101047
001077370,130416s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)839445259, 0249-A (online), C 13.46:1793, Combined stairwell and elevator use during evacuation / , NIST technical note ; 1793 , https://doi.org/10.6028/NIST.TN.1793 https://www.govinfo.gov/content/pkg/GOVPUB-C13-cddfc5eb8ad75fe06c31221878f42d4d/pdf/GOVPUB-C13-cddfc5eb8ad75fe06c31221878f42d4d.pdf https://purl.fdlp.gov/GPO/gpo103125
001077371,130514s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)842972230, 0249-A (online), C 13.46:1799, Impact of test and foam design on smoldering / , NIST technical note ; 1799 , https://doi.org/10.6028/NIST.TN.1799 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6aa8a045aa23884c1f2627e0a68d6750/pdf/GOVPUB-C13-6aa8a045aa23884c1f2627e0a68d6750.pdf https://purl.fdlp.gov/GPO/gpo98969
001077372,130606s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)846926346, 0249-A (online), C 13.46:1796, A case study of a community affected by the Witch and Guejito fires: report #2 :  evaluating the effects of hazard mitigation actions on structure ignitions /, NIST technical note ; 1796 , https://doi.org/10.6028/NIST.TN.1796 https://www.govinfo.gov/content/pkg/GOVPUB-C13-9f5afc35ea7a99f78d4394c14cd6da57/pdf/GOVPUB-C13-9f5afc35ea7a99f78d4394c14cd6da57.pdf https://purl.fdlp.gov/GPO/gpo101197
001077373,130612s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)847743670, 0249-A (online), C 13.46:1805, Mass diffusion of organic fluids :  a molecular dynamics perspective /, NIST technical note ; 1805 , https://doi.org/10.6028/NIST.TN.1805 https://www.govinfo.gov/content/pkg/GOVPUB-C13-12b66db69dc335d3f76fd0d02b63b8b7/pdf/GOVPUB-C13-12b66db69dc335d3f76fd0d02b63b8b7.pdf https://purl.fdlp.gov/GPO/gpo95006
001077374,130625s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)850521168, 0249-A (online), C 13.46:1801, Lessons learned in establishing the NIST metal additive manufacturing laboratory / , NIST technical note ; 1801 , https://doi.org/10.6028/NIST.TN.1801 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d44ba74e45806fa956582e7306dcf02e/pdf/GOVPUB-C13-d44ba74e45806fa956582e7306dcf02e.pdf https://purl.fdlp.gov/GPO/gpo103374
001077375,130625s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)850531508, 0249-A (online), C 13.46:1802, Characterizing the response of direct-reading particulate detectors for the fire overhaul environment / , NIST technical note ; 1802 , https://doi.org/10.6028/NIST.TN.1802 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b6fcd276ee62de9880a66408da944e79/pdf/GOVPUB-C13-b6fcd276ee62de9880a66408da944e79.pdf https://purl.fdlp.gov/GPO/gpo102169
