001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001079146,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884023, 0244 (online), C 13.27:44, Paint drying oils - linseed / , Technical information on building materials; 44 , https://doi.org/10.6028/NBS.TIBM.44 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b43d04719c24d7f2fad8b1fc00b7d75c/pdf/GOVPUB-C13-b43d04719c24d7f2fad8b1fc00b7d75c.pdf https://purl.fdlp.gov/GPO/gpo102050
001079147,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884024, 0244 (online), C 13.27:45, Miscellaneous paint drying oils and paint dryers / , Technical information on building materials; 45 , https://doi.org/10.6028/NBS.TIBM.45 https://www.govinfo.gov/content/pkg/GOVPUB-C13-54769cba3ab397cb892df5690551e57e/pdf/GOVPUB-C13-54769cba3ab397cb892df5690551e57e.pdf https://purl.fdlp.gov/GPO/gpo97979
001079148,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884025, 0244 (online), C 13.27:46, Volatile paint and varnish thinners / , Technical information on building materials; 46 , https://doi.org/10.6028/NBS.TIBM.46 https://www.govinfo.gov/content/pkg/GOVPUB-C13-2f0de77e5fddecdf0c22b18727b863c2/pdf/GOVPUB-C13-2f0de77e5fddecdf0c22b18727b863c2.pdf https://purl.fdlp.gov/GPO/gpo96423
001079149,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884026, 0244 (online), C 13.27:47, Varnish and lacquer / , Technical information on building materials; 47 , https://doi.org/10.6028/NBS.TIBM.47 https://www.govinfo.gov/content/pkg/GOVPUB-C13-09e2990e32563548f788ba409461c3df/pdf/GOVPUB-C13-09e2990e32563548f788ba409461c3df.pdf https://purl.fdlp.gov/GPO/gpo94788
001079150,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884027, 0244 (online), C 13.27:48, Shellac / , Technical information on building materials; 48 , https://doi.org/10.6028/NBS.TIBM.48 https://www.govinfo.gov/content/pkg/GOVPUB-C13-045da78424fffd02ba44a2360d526c0c/pdf/GOVPUB-C13-045da78424fffd02ba44a2360d526c0c.pdf https://purl.fdlp.gov/GPO/gpo94540
001079151,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884042, 0244 (online), C 13.27:49, Wood and shingle stains / , Technical information on building materials; 49 , https://doi.org/10.6028/NBS.TIBM.49 https://www.govinfo.gov/content/pkg/GOVPUB-C13-5da65a8c59ee45eabe234f2c0bd40e82/pdf/GOVPUB-C13-5da65a8c59ee45eabe234f2c0bd40e82.pdf https://purl.fdlp.gov/GPO/gpo98472
001079152,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884043, 0244 (online), C 13.27:50, Corrosion of non-ferrous metals underground / , Technical information on building materials; 50 , https://doi.org/10.6028/NBS.TIBM.50 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c75ab36af252a3e37a5b1addcfb25a72/pdf/GOVPUB-C13-c75ab36af252a3e37a5b1addcfb25a72.pdf https://purl.fdlp.gov/GPO/gpo102853
001079153,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884044, 0244 (online), C 13.27:51, Shingles :  mineral-surfaced asphalt /, Technical information on building materials; 51 , https://doi.org/10.6028/NBS.TIBM.51 https://www.govinfo.gov/content/pkg/GOVPUB-C13-7761c2bf3940c217dc0ce9320dff3d52/pdf/GOVPUB-C13-7761c2bf3940c217dc0ce9320dff3d52.pdf https://purl.fdlp.gov/GPO/gpo99487
001079154,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884045, 0244 (online), C 13.27:52, Resistance of floor covering materials to staining and chemicals / , Technical information on building materials; 52 , https://doi.org/10.6028/NBS.TIBM.52 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d39d35d566a05350a5aadf2d3ea873fb/pdf/GOVPUB-C13-d39d35d566a05350a5aadf2d3ea873fb.pdf https://purl.fdlp.gov/GPO/gpo103347
001079155,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884046, 0244 (online), C 13.27:53, Adhesives for floor coverings / , Technical information on building materials; 53 , https://doi.org/10.6028/NBS.TIBM.53 https://www.govinfo.gov/content/pkg/GOVPUB-C13-a5bfe28370291e9cb3c606a263b94626/pdf/GOVPUB-C13-a5bfe28370291e9cb3c606a263b94626.pdf https://purl.fdlp.gov/GPO/gpo101468
001079156,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884057, 0244 (online), C 13.27:56, Plastic caulking and pointing materials - part II / , Technical information on building materials; 56 , https://doi.org/10.6028/NBS.TIBM.56 https://www.govinfo.gov/content/pkg/GOVPUB-C13-50ba342d861a29703fc37408123d3870/pdf/GOVPUB-C13-50ba342d861a29703fc37408123d3870.pdf https://purl.fdlp.gov/GPO/gpo97842
001079157,151118s1938\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884058, 0244 (online), C 13.27:61, Study of underground corrosion of nonbituminous metal coatings / , Technical information on building materials; 61 , https://doi.org/10.6028/NBS.TIBM.61 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8857e96e31da1691626a1ad8490dbed4/pdf/GOVPUB-C13-8857e96e31da1691626a1ad8490dbed4.pdf https://purl.fdlp.gov/GPO/gpo100320
001079158,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884063, 0244 (online), C 13.27:54, Relative resistance of floor covering materials to abrasion / , Technical information on building materials; 54 , https://doi.org/10.6028/NBS.TIBM.54 https://www.govinfo.gov/content/pkg/GOVPUB-C13-66b13fc7fce4844ad53a2e1043919871/pdf/GOVPUB-C13-66b13fc7fce4844ad53a2e1043919871.pdf https://purl.fdlp.gov/GPO/gpo98819
001079159,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884070, 0244 (online), C 13.27:55, Water-tightness of expansion joint materials in concrete roof construction / , Technical information on building materials; 55 , https://doi.org/10.6028/NBS.TIBM.55 https://www.govinfo.gov/content/pkg/GOVPUB-C13-72a7eb2840233397b6bc95b02070afc7/pdf/GOVPUB-C13-72a7eb2840233397b6bc95b02070afc7.pdf https://purl.fdlp.gov/GPO/gpo99288
