MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Bibliographic_Level/Illustrations/Publication status	Chronicling America: historic American newspapers.	001168075	86114510	693033542; 1044206776; 1056358343; 1060818404; 1074322280; 1100907400	LC			Library of Congress			LC 1.65:			0786-A-25 (online)			2006	https://purl.fdlp.gov/GPO/gpo172339			https://chroniclingamerica.loc.gov/		
Bibliographic_Level/Illustrations/Publication status	Permitting dashboard: federal infrastructure projects.	001169054	1289504566	1292018600	Y			Congress			Y 3.2:P 42/P 42/			1089-A-11 (online)			201u	https://purl.fdlp.gov/GPO/gpo172874			https://www.permits.performance.gov/		
Bibliographic_Level/Illustrations/Publication status	ChemView	001169200	1289790891	872377623	EP			Environmental Protection Agency			EP 1.349:			0431-J-90 (online)			20uu	https://purl.fdlp.gov/GPO/gpo173007			https://chemview.epa.gov/chemview/		
Bibliographic_Level/Illustrations/Publication status	Historical public records program	001172844	1297040220		LC			Library of Congress			LC 3.16:			0803-B-04 (online)			20uu	https://purl.fdlp.gov/GPO/gpo174984			https://www.copyright.gov/historic-records/		
Bibliographic_Level/Illustrations/Publication status	Federal Maritime Commission agreement library	001177829	1313121395		FMC			Federal Maritime Commission			FMC 1.2:AG 8/			0432-L-01 (online)			1984-	https://purl.fdlp.gov/GPO/gpo177504			https://www2.fmc.gov/FMC.Agreements.Web/Public		
Bibliographic_Level/Illustrations/Publication status	TRI toxics tracker	001181575	1331440530		EP			Environmental Protection Agency			EP 1.2:T 66/25/			0431-I-01 (online)			2011-	https://purl.fdlp.gov/GPO/gpo183207			https://edap.epa.gov/public/extensions/TRIToxicsTracker/TRIToxicsTracker.html		
Bibliographic_Level/Illustrations/Publication status	CAMEO chemicals: database of hazardous materials.	001194377	124077860		C			Department of Commerce			C 55.452:			0192-A-39 (online)			2007-	https://purl.fdlp.gov/GPO/gpo185389			https://cameochemicals.noaa.gov/		
Bibliographic_Level/Illustrations/Publication status	Dynamic Regulatory System	001211898	1369063877		TD			Department of Transportation			TD 4.96:			0431-A-73 (online)			202u	https://purl.fdlp.gov/GPO/gpo191998			https://drs.faa.gov/browse		
Bibliographic_Level/Illustrations/Publication status	FedScope: federal workforce data	001213057	1371525878		PM			Personnel Management Office			PM 1.83:			0295-D-24 (online)			20uu	https://purl.fdlp.gov/GPO/gpo193564			https://www.fedscope.opm.gov/		
Bibliographic_Level/Illustrations/Publication status	Classification of instructional programs	001213164	851091062		ED			Department of Education			ED 1.102:C 56/			0461-A-01 (online)			2010-	https://purl.fdlp.gov/GPO/gpo193570			http://nces.ed.gov/ipeds/cipcode/Default.aspx?y=55		
Bibliographic_Level/Illustrations/Publication status	Aviation accident database & synopses	001215521	44375980		TD			Department of Transportation			TD 1.112/10:			0982-I-48 (online)			2000?]-	https://purl.fdlp.gov/GPO/gpo195517			https://www.ntsb.gov/Pages/AviationQuery.aspx		
Bibliographic_Level/Illustrations/Publication status	Orders and opinions	001217222	898233130		JU			Judiciary			JU 15.15/2:			0742-D-04 (online)			200u	https://purl.fdlp.gov/GPO/gpo212797			http://www.uscourts.cavc.gov/orders_and_opinions.php		
